id,customer,vehicle,kit_optional,dealership,kiosk,status,created_at,modified_at
191,78,4,3,2,18,p,2015-01-16 05:42:55.113836+00,2015-06-08 02:49:47.510383+00
192,68,10,3,146,181,c,2015-07-03 11:15:02.152406+00,2015-06-08 02:49:47.510427+00
193,38,8,1,89,15,a,2015-11-23 08:06:14.255344+00,2015-06-08 02:49:47.510470+00
194,82,6,3,129,150,a,2015-10-24 12:02:52.681457+00,2015-06-08 02:49:47.510514+00
195,100,9,2,75,22,a,2015-05-22 05:54:38.650339+00,2015-06-08 02:49:47.510558+00
196,190,8,2,20,189,p,2015-12-08 22:42:59.190875+00,2015-06-08 02:49:47.510603+00
197,37,7,1,43,198,p,2015-11-02 05:32:25.773277+00,2015-06-08 02:49:47.510647+00
198,30,3,2,35,5,a,2015-05-25 20:46:37.313760+00,2015-06-08 02:49:47.510691+00
199,123,8,3,52,19,p,2015-07-25 18:39:51.981077+00,2015-06-08 02:49:47.510734+00
200,6,10,1,132,205,p,2015-11-06 15:35:18.578487+00,2015-06-08 02:49:47.510779+00
201,96,4,1,97,191,p,2015-11-18 20:31:22.507594+00,2015-06-08 02:49:47.510822+00
202,69,5,3,107,76,a,2015-08-16 19:38:41.100200+00,2015-06-08 02:49:47.510867+00
203,76,10,1,100,271,p,2015-06-08 18:50:43.045368+00,2015-06-08 02:49:47.510911+00
204,170,8,2,83,221,a,2015-01-25 05:45:06.025038+00,2015-06-08 02:49:47.510955+00
205,190,7,1,27,120,c,2015-03-22 03:23:10.833354+00,2015-06-08 02:49:47.510998+00
206,123,10,3,125,35,a,2015-08-12 04:44:38.647115+00,2015-06-08 02:49:47.511042+00
207,62,6,2,28,141,c,2015-07-27 01:42:50.785582+00,2015-06-08 02:49:47.511087+00
208,106,4,2,113,274,p,2015-03-07 20:45:49.514212+00,2015-06-08 02:49:47.511132+00
209,2,4,2,108,268,p,2015-05-04 08:15:08.357498+00,2015-06-08 02:49:47.511176+00
210,139,7,2,102,81,c,2015-12-20 08:07:51.399988+00,2015-06-08 02:49:47.511220+00
211,17,1,2,28,25,p,2015-03-24 23:53:39.966741+00,2015-06-08 02:49:47.511265+00
212,136,8,1,82,64,a,2015-06-18 09:37:57.849688+00,2015-06-08 02:49:47.511309+00
213,172,8,3,83,43,p,2015-11-23 00:23:10.471930+00,2015-06-08 02:49:47.511352+00
214,171,6,1,56,93,a,2015-08-14 19:56:01.004951+00,2015-06-08 02:49:47.511397+00
215,15,6,3,9,122,c,2015-11-16 01:50:54.752696+00,2015-06-08 02:49:47.511442+00
216,70,5,2,11,74,a,2015-03-20 06:23:54.386252+00,2015-06-08 02:49:47.511503+00
217,97,1,2,64,62,p,2015-09-08 21:58:33.251511+00,2015-06-08 02:49:47.511578+00
218,74,6,3,72,260,c,2015-05-22 07:34:02.999602+00,2015-06-08 02:49:47.511652+00
219,181,9,3,142,110,c,2015-07-13 20:56:36.268883+00,2015-06-08 02:49:47.511700+00
220,23,3,2,100,183,a,2015-12-19 21:27:45.865581+00,2015-06-08 02:49:47.511743+00
221,184,7,3,30,52,a,2015-03-21 09:31:40.470078+00,2015-06-08 02:49:47.511786+00
222,8,8,2,82,2,p,2015-05-24 22:56:29.658664+00,2015-06-08 02:49:47.511830+00
223,111,7,1,109,242,p,2015-03-15 07:08:50.921904+00,2015-06-08 02:49:47.511873+00
224,118,11,3,6,271,a,2015-06-26 23:49:45.933022+00,2015-06-08 02:49:47.511917+00
225,27,2,3,47,109,a,2015-09-14 04:32:54.323648+00,2015-06-08 02:49:47.511961+00
226,179,8,2,141,199,p,2015-10-26 18:19:19.384198+00,2015-06-08 02:49:47.512004+00
227,88,6,2,112,260,a,2015-01-14 03:45:12.361535+00,2015-06-08 02:49:47.512049+00
228,159,9,2,50,49,a,2015-06-04 05:15:34.420578+00,2015-06-08 02:49:47.512094+00
229,3,10,2,33,21,a,2015-03-21 11:56:21.022314+00,2015-06-08 02:49:47.512138+00
230,55,8,2,76,133,p,2015-01-23 23:37:49.726771+00,2015-06-08 02:49:47.512181+00
231,177,6,3,110,78,c,2015-01-18 22:08:38.770400+00,2015-06-08 02:49:47.512225+00
232,29,6,3,107,262,p,2015-02-26 16:47:32.410476+00,2015-06-08 02:49:47.512269+00
233,153,10,1,85,284,a,2015-09-19 14:32:36.606527+00,2015-06-08 02:49:47.512314+00
234,170,3,3,71,72,p,2015-12-05 01:43:50.665638+00,2015-06-08 02:49:47.512357+00
235,101,3,2,51,275,p,2015-08-09 12:02:13.106023+00,2015-06-08 02:49:47.512402+00
236,12,11,2,78,12,a,2015-04-24 15:14:09.257615+00,2015-06-08 02:49:47.512497+00
237,178,2,2,43,234,p,2015-07-16 11:39:17.593211+00,2015-06-08 02:49:47.512544+00
238,112,5,2,93,199,p,2015-11-15 15:42:50.323326+00,2015-06-08 02:49:47.512588+00
239,190,1,3,3,243,a,2015-05-10 06:38:38.713538+00,2015-06-08 02:49:47.512634+00
240,146,9,1,94,46,a,2015-01-10 16:40:07.221559+00,2015-06-08 02:49:47.512678+00
241,79,8,2,24,98,p,2015-07-13 01:23:41.670870+00,2015-06-08 02:49:47.512724+00
242,100,11,1,1,108,p,2015-07-15 23:20:46.223215+00,2015-06-08 02:49:47.512768+00
243,118,9,3,61,93,c,2015-08-21 17:24:44.422755+00,2015-06-08 02:49:47.512812+00
244,21,5,2,117,46,c,2015-05-03 09:32:37.156276+00,2015-06-08 02:49:47.512855+00
245,196,6,2,56,179,c,2015-01-03 02:33:23.003849+00,2015-06-08 02:49:47.512900+00
246,154,7,1,48,256,a,2015-11-09 19:10:13.609180+00,2015-06-08 02:49:47.512944+00
247,162,2,1,66,84,c,2015-07-11 16:42:28.567555+00,2015-06-08 02:49:47.512988+00
248,181,9,1,67,26,a,2015-12-10 10:00:22.385515+00,2015-06-08 02:49:47.513033+00
249,40,3,1,121,262,a,2015-01-27 22:12:42.287518+00,2015-06-08 02:49:47.513079+00
250,53,11,2,115,273,c,2015-12-03 23:44:22.779468+00,2015-06-08 02:49:47.513123+00
251,161,11,2,131,72,c,2015-03-15 07:42:01.008786+00,2015-06-08 02:49:47.513168+00
252,90,10,1,133,164,p,2015-02-20 18:14:56.158643+00,2015-06-08 02:49:47.513221+00
253,115,6,3,3,109,c,2015-07-07 21:31:46.857392+00,2015-06-08 02:49:47.513299+00
254,46,11,1,80,87,c,2015-12-26 11:26:29.778294+00,2015-06-08 02:49:47.513347+00
255,152,6,3,69,200,p,2015-04-12 13:41:04.837348+00,2015-06-08 02:49:47.513391+00
256,109,9,3,27,76,c,2015-07-20 05:03:48.279025+00,2015-06-08 02:49:47.513434+00
257,200,7,2,19,145,c,2015-03-08 19:45:11.654004+00,2015-06-08 02:49:47.513478+00
258,6,2,1,80,65,p,2015-08-09 14:57:57.814399+00,2015-06-08 02:49:47.513522+00
259,44,4,2,53,78,a,2015-08-09 02:50:59.482683+00,2015-06-08 02:49:47.513567+00
260,23,5,2,129,15,c,2015-04-06 07:27:27.745804+00,2015-06-08 02:49:47.513612+00
261,172,10,1,17,75,a,2015-07-03 03:07:20.110401+00,2015-06-08 02:49:47.513655+00
262,42,2,1,21,283,a,2015-08-04 07:18:01.599660+00,2015-06-08 02:49:47.513701+00
263,36,11,1,144,222,p,2015-06-24 16:38:20.961776+00,2015-06-08 02:49:47.513744+00
264,56,2,3,37,219,a,2015-03-17 05:18:21.680410+00,2015-06-08 02:49:47.513789+00
265,31,4,2,26,118,a,2015-01-01 12:52:46.034852+00,2015-06-08 02:49:47.513833+00
266,113,6,3,115,130,p,2015-09-20 22:17:21.314814+00,2015-06-08 02:49:47.513876+00
267,172,11,3,14,59,a,2015-10-11 07:24:40.715918+00,2015-06-08 02:49:47.513921+00
268,80,9,2,97,108,p,2015-06-09 03:43:59.729972+00,2015-06-08 02:49:47.513964+00
269,108,2,2,62,145,p,2015-12-20 15:02:56.339852+00,2015-06-08 02:49:47.514009+00
270,70,9,1,62,179,c,2015-03-13 15:36:53.836312+00,2015-06-08 02:49:47.514053+00
271,44,10,3,76,233,p,2015-01-26 18:20:35.713370+00,2015-06-08 02:49:47.514098+00
272,194,4,3,42,201,c,2015-10-21 17:14:43.575403+00,2015-06-08 02:49:47.514143+00
273,189,11,2,60,207,p,2015-02-11 20:27:26.968250+00,2015-06-08 02:49:47.514187+00
274,25,9,3,9,193,c,2015-05-03 21:27:12.097351+00,2015-06-08 02:49:47.514230+00
275,119,4,3,15,149,p,2015-10-01 20:38:57.432633+00,2015-06-08 02:49:47.514274+00
276,13,2,3,120,4,c,2015-01-23 06:02:51.899732+00,2015-06-08 02:49:47.514320+00
277,167,1,2,120,29,c,2015-03-16 09:50:31.594057+00,2015-06-08 02:49:47.514363+00
278,153,1,3,45,27,a,2015-06-02 15:13:57.998420+00,2015-06-08 02:49:47.514408+00
